created_at,text,Polarity,Subjectivity
Mon Apr 18 18:42:33 +0000 2016,Bills 4-12 https://t.co/E3V73YQlG0,[0.484454],0.0
Mon Apr 18 18:42:33 +0000 2016,Rex Ryan confirms he will introduce Donald Trump at his rally tonight in Buffalo. #Bills.| MORE: https://t.co/wDiXgpLcCO,0.5,0.5
Mon Apr 18 18:42:34 +0000 2016,"RT @WORLDSTARC0MEDY: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/utflqTnvim",[0.164293],0.0
Mon Apr 18 18:42:34 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:35 +0000 2016,[Syracuse] Bills coach Rex Ryan will be introducing Donald Trump at his Buffalo rally https://t.co/kqx3Wbh7ZK #Bills,[-0.500691],0.0
Mon Apr 18 18:42:35 +0000 2016,Bills going 2-14 https://t.co/0is8rM76PO,[0.484454],0.0
Mon Apr 18 18:42:35 +0000 2016,RT @OOTLYFE: YG &amp; Nipsey Hussle - FDT [F*ck Donald Trump] (Music Video) [@YG @NipseyHussle] https://t.co/NG9YQIKrVO https://t.co/ZkpsY21jU5,[0.155855],0.0
Mon Apr 18 18:42:35 +0000 2016,! Check out these kids doing their best Donald Trump impressions: https://t.co/0nGPEUxcg7 https://t.co/F5UIhxfFi7,1.0,0.3
Mon Apr 18 18:42:36 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:36 +0000 2016,"RT @WORLDSTARVlNE: YG HAD 40,000 PEOPLE CHANTING ""F*CK DONALD TRUMP"" AT COACHELLA https://t.co/wTFVHvZR6f",[0.164293],0.0
Mon Apr 18 18:42:36 +0000 2016,I did NOT know that Donald Trump was such a natural comedian. https://t.co/oycMrso6bS,0.05,0.45
Mon Apr 18 18:42:37 +0000 2016,RT @SofiaVergara: Stupid fake journal.never again use my name to invent stupid fake news. https://t.co/u39nNMcgai,-0.6499999999999999,1.0
Mon Apr 18 18:42:37 +0000 2016,"RT @AIIAmericanGirI: NBC Fears Sanders 'Making Donald Trump's Argument' Against 'Crooked Hillary'
https://t.co/t21aDCqak8",[-0.132637],0.1
Mon Apr 18 18:42:37 +0000 2016,"RT @ClassicJams: 20,000+ chanting ""Fuck Donald Trump"" at Coachella https://t.co/mCp7jjqZ6E",-0.4,0.6
Mon Apr 18 18:42:39 +0000 2016,"RT @WSHHFANS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/uVSMM4TmYe",[0.164293],0.0
Mon Apr 18 18:42:39 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:40 +0000 2016,"My Bosnian friends little neice asked, Is that mean ""Donald Trump"" going to send our family back to Bosnia?  https://t.co/865C2kqQ4a",-0.16666666666666666,0.3958333333333333
Mon Apr 18 18:42:40 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:41 +0000 2016,"RT @DailyRapFacts: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/ofqrDS0JL3",[0.164293],0.0
Mon Apr 18 18:42:41 +0000 2016,"RT @WORIDSTARHIPH0P: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/9uerBPUVgi",[0.164293],0.0
Mon Apr 18 18:42:42 +0000 2016,"RT @WORIDSTARHIPHOP: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/FvBGkAw8hK",[0.164293],0.0
Mon Apr 18 18:42:43 +0000 2016,"RT @kumailn: The Prime Minister of Canada explained quantum computing in less than 30 seconds.

Donald Trump misspelled the word ""dumber.""",-0.16666666666666666,0.06666666666666667
Mon Apr 18 18:42:43 +0000 2016,"RT @HotFreestyle: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/mUlCZ6DIp2",[0.164293],0.0
Mon Apr 18 18:42:43 +0000 2016,"RT @RlDICULOUSNESS: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/VLEnGGM4kZ",[0.164293],0.0
Mon Apr 18 18:42:43 +0000 2016,fuck donald trump x yg &amp; nipsey hussle,-0.4,0.6
Mon Apr 18 18:42:44 +0000 2016,RT @rowblanchard: New fave meditation music!  https://t.co/mgh5yn827t,0.17045454545454544,0.45454545454545453
Mon Apr 18 18:42:45 +0000 2016,"RT @WORIDSTARHIPHOP: YG had 40,000 people chanting ""F*CK DONALD TRUMP"" at Coachella https://t.co/FvBGkAw8hK",[0.164293],0.0
